frame,x1,y1,x2,y2,confidence,class
5,726,348,758,400,0.898,player
5,1134,348,1156,405,0.8891,player
5,924,198,956,247,0.8641,player
5,874,146,905,188,0.8086,player
5,899,157,929,205,0.7696,player
5,457,70,494,118,0.7375,player
5,1715,323,1743,383,0.7252,player
6,934,267,969,327,0.9273,player
6,300,518,346,587,0.9256,player
6,830,240,873,291,0.9242,player
6,312,793,362,867,0.9208,player
6,350,371,400,424,0.9197,player
6,554,91,591,140,0.9188,player
6,282,438,316,500,0.9182,player
6,1293,812,1342,888,0.9164,player
6,1009,146,1042,194,0.916,player
6,1125,480,1157,543,0.9153,player
6,871,575,927,638,0.9142,player
6,1478,223,1509,272,0.913,player
6,723,346,757,402,0.9081,player
6,1664,461,1695,523,0.9057,player
6,431,205,477,261,0.9055,player
6,923,196,957,245,0.9013,player
6,1132,347,1156,406,0.8901,player
6,763,398,786,455,0.8819,player
6,898,156,930,203,0.858,player
6,868,147,901,189,0.8519,player
6,461,69,497,119,0.682,player
6,1716,324,1741,383,0.6628,player
7,299,516,347,585,0.9276,player
7,279,437,314,499,0.9255,player
7,349,371,396,421,0.924,player
7,553,90,591,140,0.922,player
7,305,793,351,867,0.9206,player
7,1123,479,1157,542,0.9198,player
7,938,267,968,327,0.9181,player
7,1479,223,1511,272,0.9159,player
7,827,242,867,294,0.9158,player
7,1296,812,1345,890,0.9154,player
7,1664,460,1697,523,0.9139,player
7,431,205,466,263,0.9079,player
7,722,344,757,400,0.9073,player
7,921,197,958,244,0.9069,player
7,1131,347,1158,403,0.9039,player
7,871,576,921,640,0.9025,player
7,1713,324,1737,383,0.8961,player
7,868,148,893,191,0.8938,player
7,1008,146,1035,195,0.8933,player
7,895,156,927,204,0.8899,player
7,759,396,781,455,0.8322,player
7,463,69,498,119,0.2806,player
8,1116,479,1158,542,0.9303,player
8,299,791,346,866,0.9301,player
8,278,434,314,498,0.9271,player
8,298,515,347,579,0.9214,player
8,1665,460,1699,524,0.919,player
8,1130,347,1160,404,0.916,player
8,1298,811,1348,889,0.9157,player
8,721,344,757,398,0.9139,player
8,1479,223,1513,272,0.9126,player
8,1713,322,1739,384,0.9119,player
8,553,92,590,140,0.9089,player
8,942,268,966,327,0.9067,player
8,919,197,957,245,0.906,player
8,429,204,463,262,0.9052,player
8,346,371,390,423,0.9037,player
8,754,394,783,454,0.8995,player
8,868,576,912,640,0.8971,player
8,1006,147,1029,195,0.8948,player
8,822,243,858,295,0.8931,player
8,893,156,927,205,0.8925,player
8,864,148,889,190,0.8834,player
9,297,789,347,865,0.9296,player
9,1115,479,1156,543,0.9276,player
9,1126,347,1162,405,0.9266,player
9,1302,811,1348,889,0.9228,player
9,1663,460,1702,524,0.9211,player
9,1710,322,1742,385,0.9206,player
9,281,431,316,497,0.9188,player
9,818,243,850,296,0.9178,player
9,298,515,344,579,0.9177,player
9,718,342,756,397,0.9147,player
9,557,95,589,141,0.9137,player
9,1480,224,1513,274,0.9061,player
9,427,204,458,262,0.9058,player
9,1001,147,1032,195,0.905,player
9,944,268,964,327,0.9042,player
9,862,574,902,640,0.9038,player
9,919,200,957,248,0.8975,player
9,344,370,385,422,0.8972,player
9,859,148,890,188,0.8961,player
9,893,155,926,205,0.8931,player
9,751,392,784,453,0.8898,player
10,292,785,346,863,0.9355,player
10,1116,480,1153,544,0.9285,player
10,1124,348,1165,406,0.9281,player
10,1306,811,1346,888,0.925,player
10,1663,461,1703,524,0.9227,player
10,816,242,851,295,0.9216,player
10,999,146,1034,194,0.9207,player
10,341,368,387,422,0.9179,player
10,1704,322,1744,386,0.917,player
10,857,576,896,640,0.9147,player
10,558,95,585,141,0.9123,player
10,284,429,317,495,0.9118,player
10,855,148,891,188,0.9084,player
10,426,203,456,262,0.9079,player
10,945,268,963,327,0.9067,player
10,1480,226,1512,273,0.9016,player
