player_id,frame,view,x1,y1,x2,y2
105,5,tacticam,1128,481,1156,543
105,7,broadcast,838,615,893,724
106,5,tacticam,877,574,928,637
106,5,broadcast,1555,709,1640,840
107,5,tacticam,1476,223,1507,273
107,6,broadcast,883,575,949,671
108,5,tacticam,1292,811,1338,889
108,5,broadcast,1555,709,1640,840
109,5,tacticam,558,92,591,141
109,5,broadcast,1555,709,1640,840
110,5,tacticam,1664,462,1694,523
110,5,broadcast,1555,709,1640,840
111,5,tacticam,352,372,401,424
111,7,broadcast,803,560,872,663
97,5,tacticam,432,205,481,261
112,5,tacticam,763,398,796,456
113,5,tacticam,726,348,758,400
113,7,broadcast,1235,462,1280,553
114,5,tacticam,1134,348,1156,405
115,5,tacticam,924,198,956,247
100,5,tacticam,874,146,905,188
113,5,tacticam,899,157,929,205
116,5,tacticam,457,70,494,118
117,5,tacticam,1715,323,1743,383
117,6,broadcast,602,751,668,879
110,6,tacticam,934,267,969,327
118,6,tacticam,300,518,346,587
118,5,broadcast,1215,455,1279,549
119,6,tacticam,830,240,873,291
119,5,broadcast,1215,455,1279,549
120,6,tacticam,312,793,362,867
120,5,broadcast,1555,709,1640,840
121,6,tacticam,350,371,400,424
121,5,broadcast,1215,455,1279,549
122,6,tacticam,554,91,591,140
122,5,broadcast,1555,709,1640,840
122,6,tacticam,282,438,316,500
117,6,tacticam,1293,812,1342,888
97,6,tacticam,1009,146,1042,194
123,6,tacticam,1125,480,1157,543
123,7,broadcast,803,560,872,663
124,6,tacticam,871,575,927,638
124,5,broadcast,1555,709,1640,840
125,6,tacticam,1478,223,1509,272
125,5,broadcast,1555,709,1640,840
113,6,tacticam,723,346,757,402
126,6,tacticam,1664,461,1695,523
126,6,broadcast,602,751,668,879
113,6,tacticam,431,205,477,261
127,6,tacticam,923,196,957,245
128,6,tacticam,1132,347,1156,406
129,6,tacticam,763,398,786,455
113,6,tacticam,898,156,930,203
130,6,tacticam,868,147,901,189
130,5,broadcast,1555,709,1640,840
131,6,tacticam,461,69,497,119
132,6,tacticam,1716,324,1741,383
132,8,broadcast,1662,450,1701,531
97,7,tacticam,299,516,347,585
107,7,tacticam,279,437,314,499
113,7,tacticam,349,371,396,421
133,7,tacticam,553,90,591,140
133,5,broadcast,1555,709,1640,840
134,7,tacticam,305,793,351,867
134,5,broadcast,1555,709,1640,840
97,7,tacticam,1123,479,1157,542
134,7,tacticam,938,267,968,327
132,7,tacticam,1479,223,1511,272
97,7,tacticam,827,242,867,294
135,7,tacticam,1296,812,1345,890
135,5,broadcast,1555,709,1640,840
136,7,tacticam,1664,460,1697,523
113,7,tacticam,431,205,466,263
137,7,tacticam,722,344,757,400
137,5,broadcast,1568,556,1625,659
138,7,tacticam,921,197,958,244
113,7,tacticam,1131,347,1158,403
139,7,tacticam,871,576,921,640
139,5,broadcast,1555,709,1640,840
140,7,tacticam,1713,324,1737,383
141,7,tacticam,868,148,893,191
142,7,tacticam,1008,146,1035,195
143,7,tacticam,895,156,927,204
143,6,broadcast,1551,484,1616,575
144,7,tacticam,759,396,781,455
145,7,tacticam,463,69,498,119
97,8,tacticam,1116,479,1158,542
146,8,tacticam,299,791,346,866
146,6,broadcast,1550,711,1651,833
107,8,tacticam,278,434,314,498
147,8,tacticam,298,515,347,579
147,6,broadcast,833,617,899,719
148,8,tacticam,1665,460,1699,524
148,6,broadcast,602,751,668,879
113,8,tacticam,1130,347,1160,404
146,8,tacticam,1298,811,1348,889
143,8,tacticam,721,344,757,398
149,8,tacticam,1479,223,1513,272
149,6,broadcast,1550,711,1651,833
150,8,tacticam,1713,322,1739,384
151,8,tacticam,553,92,590,140
151,6,broadcast,1550,711,1651,833
132,8,tacticam,942,268,966,327
152,8,tacticam,919,197,957,245
97,8,tacticam,429,204,463,262
113,8,tacticam,346,371,390,423
153,8,tacticam,754,394,783,454
154,8,tacticam,868,576,912,640
154,6,broadcast,1550,711,1651,833
113,8,tacticam,1006,147,1029,195
155,8,tacticam,822,243,858,295
155,10,broadcast,1586,569,1649,670
156,8,tacticam,893,156,927,205
157,8,tacticam,864,148,889,190
157,9,broadcast,1664,452,1699,534
158,9,tacticam,297,789,347,865
158,7,broadcast,1547,713,1614,831
159,9,tacticam,1115,479,1156,543
159,7,broadcast,803,560,872,663
155,9,tacticam,1126,347,1162,405
158,9,tacticam,1302,811,1348,889
160,9,tacticam,1663,460,1702,524
160,7,broadcast,1547,713,1614,831
161,9,tacticam,1710,322,1742,385
161,8,broadcast,613,752,676,877
162,9,tacticam,281,431,316,497
162,7,broadcast,1547,713,1614,831
163,9,tacticam,818,243,850,296
105,9,tacticam,298,515,344,579
113,9,tacticam,718,342,756,397
164,9,tacticam,557,95,589,141
164,7,broadcast,1650,446,1712,525
165,9,tacticam,1480,224,1513,274
165,7,broadcast,1547,713,1614,831
166,9,tacticam,427,204,458,262
166,7,broadcast,803,560,872,663
167,9,tacticam,1001,147,1032,195
167,8,broadcast,1244,463,1295,558
168,9,tacticam,944,268,964,327
164,9,tacticam,862,574,902,640
169,9,tacticam,919,200,957,248
155,9,tacticam,344,370,385,422
170,9,tacticam,859,148,890,188
171,9,tacticam,893,155,926,205
171,9,broadcast,1578,566,1640,664
172,9,tacticam,751,392,784,453
172,9,broadcast,1755,594,1823,700
173,10,tacticam,292,785,346,863
173,8,broadcast,613,752,676,877
